T,H,Lux,name
-1.3611030728029916,-1.6469775198955163,-1.5811518611326927,cluster0
-1.440664151981687,-1.4426004583093273,-1.6696412815650823,cluster0
-0.5654922810160347,-1.6740025858903844,-0.6502170888236122,cluster0
-0.2472479643012518,-2.128924530137328,-0.2888106266566994,cluster0
-0.16768688512255625,-2.111470841682309,-0.1952007442977375,cluster0
-1.0428587560882085,-1.7798507610369503,-1.211665564237835,cluster0
-0.9632976769095131,-1.3384413497874408,-1.1083924333882667,cluster0
-0.48593120183733896,-2.1812855955023847,-0.5696525771240345,cluster0
-0.48593120183733896,-2.332175547307064,-0.5737158824385022,cluster0
-1.520225231160383,-2.4143767897081205,-1.787039789022202,cluster0
-0.9632976769095131,-1.7618340503737049,-1.1180779072552223,cluster0
-1.3611030728029916,-2.3777803461734033,-1.5997012429623692,cluster0
-0.724614439373426,-1.5062219678389124,-0.8326643945091458,cluster0
-0.8837365977308174,-1.5405663225407236,-1.0197585265352767,cluster0
-0.724614439373426,-1.5062219678389124,-0.8326643945091458,cluster0
-0.40637012265864325,-2.4549143887004226,-0.48399577349260237,cluster0
-0.6450533601947303,-1.4887682793838934,-0.7391129247023124,cluster0
-0.5654922810160347,-1.862052003438007,-0.6547140268851434,cluster0
-1.8207893080576776,-4.079796481641857,-2.232789988583455,cluster0
-0.8837365977308174,-1.321550683540648,-1.0148655203078913,cluster0
-1.3611030728029916,-1.4251467698543088,-1.5760945875506258,cluster0
-1.440664151981687,-1.6649942305587615,-1.674729181818707,cluster0
-0.724614439373426,-2.771895891931894,-0.8661518955075247,cluster0
-0.724614439373426,-1.2877693510470631,-0.8278150798251069,cluster0
-0.8041755185521217,-1.726363651255441,-0.9309209301478225,cluster0
-0.724614439373426,-1.8969593803480445,-0.8418827798283244,cluster0
-0.2472479643012518,-2.128924530137328,-0.2888106266566994,cluster0
-1.8207893080576776,-4.079796481641857,-2.232789988583455,cluster0
-1.8207893080576776,-4.079796481641857,-2.232789988583455,cluster0
-0.16768688512255625,-1.775346583371139,-0.1868346291572819,cluster0
-0.008564726765164812,-2.0771264869804975,-0.008001430154864498,cluster0
-0.40637012265864325,-1.8271446265279694,-0.46755198047640073,cluster0
-0.724614439373426,-1.8969593803480445,-0.8418827798283244,cluster0
-1.440664151981687,-1.870497336561403,-1.679643398520544,cluster0
-1.75890846869647,-1.5146673009623086,-2.0438922220557707,cluster0
-1.440664151981687,-1.4426004583093273,-1.6696412815650823,cluster0
-0.8837365977308174,-2.5585104750140832,-1.045938591757517,cluster0
-1.1224198352669044,-1.593490410114007,-1.3004421393750378,cluster0
-1.1224198352669044,-2.16157981821446,-1.3143871331970838,cluster0
-1.1224198352669044,-2.16157981821446,-1.3143871331970838,cluster0
-0.6450533601947303,-2.2167559946206485,-0.7569060744144946,cluster0
-0.6450533601947303,-2.2167559946206485,-0.7569060744144946,cluster0
-0.5654922810160347,-2.036588887988196,-0.6590618045504527,cluster0
-0.9632976769095131,-1.3384413497874408,-1.1083924333882667,cluster0
-0.8837365977308174,-1.7438173397104597,-1.0244919221202973,cluster0
-0.8837365977308174,-1.7438173397104597,-1.0244919221202973,cluster0
-0.8837365977308174,-1.9329928016745352,-1.0290863346166392,cluster0
-0.2472479643012518,-1.7922372496179313,-0.2803964853013547,cluster0
-0.32680904347994766,-1.622204542733554,-0.3695396588313461,cluster0
-0.2472479643012518,-1.7922372496179313,-0.2803964853013547,cluster0
-0.40637012265864325,-2.001681511078158,-0.47186454230329955,cluster0
-0.48593120183733896,-1.6565488974353655,-0.5566521312535292,cluster0
-0.32680904347994766,-2.801736068967894,-0.4013226848440878,cluster0
-0.32680904347994766,-2.689131627322611,-0.3977782859744846,cluster0
-0.6450533601947303,-2.2167559946206485,-0.7569060744144946,cluster0
-0.6450533601947303,-2.2167559946206485,-0.7569060744144946,cluster0
-0.16768688512255625,-2.111470841682309,-0.1952007442977375,cluster0
-0.724614439373426,-1.5062219678389124,-0.8326643945091458,cluster0
-0.16768688512255625,-2.874365933829102,-0.21737899510322856,cluster0
-1.8207893080576776,-4.079796481641857,-2.232789988583455,cluster0
0.23011851077092219,0.8291941518842586,0.3296654994617672,cluster1
0.30967958994961803,0.8342613517582965,0.4229052543732823,cluster1
0.15055743159222662,0.8235639298019948,0.23641645905708533,cluster1
0.8666071442004876,0.8702947730847872,1.0755915422409223,cluster1
0.6279239066644006,0.2363317666218431,0.7854086673841705,cluster1
0.6279239066644006,1.1929064983985234,0.8013095283495473,cluster1
0.15055743159222662,1.1760158321517302,0.24210208578573178,cluster1
0.3892406691283136,0.5150277596939189,0.5107390044806217,cluster1
0.15055743159222662,1.1760158321517302,0.24210208578573178,cluster1
0.30967958994961803,0.507145448778749,0.41744863484865896,cluster1
0.5483628274857051,1.1900913873573906,0.7081083177217306,cluster1
0.30967958994961803,1.181646054233995,0.4285046143560873,cluster1
0.46880174830700916,0.8449587737145983,0.6093938587494228,cluster1
0.6279239066644006,1.1929064983985234,0.8013095283495473,cluster1
0.30967958994961803,1.550425600622297,0.43425006695935137,cluster1
0.23011851077092219,1.178830943192863,0.3353033560441475,cluster1
1.3439736192726615,0.5983550465114286,1.2174558788716634,cluster1
0.9461682233791835,1.2030408981465985,1.1740964435437227,cluster1
1.1848514609152705,1.2109232090617683,1.2174558788716634,cluster1
0.8666071442004876,1.2007888093136934,1.0809041825345385,cluster1
0.9461682233791835,1.2030408981465985,1.1740964435437227,cluster1
1.0257293025578793,1.2058560091877304,1.2174558788716634,cluster1
1.264412540093966,1.550425600622297,1.2174558788716634,cluster1
1.4235346984513577,1.2182424977687114,1.2174558788716634,cluster1
0.3892406691283136,1.184461165275127,0.5217058607336263,cluster1
1.264412540093966,1.2131752978946744,1.2174558788716634,cluster1
0.787046065021792,1.1979736982725606,0.9877030051929688,cluster1
0.7074849858430965,1.1951585872314285,0.8945018159704776,cluster1
0.46880174830700916,1.1872762763162588,0.6149070951853903,cluster1
0.7074849858430965,1.1951585872314285,0.8945018159704776,cluster1
1.0257293025578793,1.2058560091877304,1.2174558788716634,cluster1
0.9461682233791835,1.2030408981465985,1.1740964435437227,cluster1
0.7074849858430965,1.1951585872314285,0.8945018159704776,cluster1
0.6279239066644006,1.1929064983985234,0.8013095283495473,cluster1
0.8666071442004876,1.2007888093136934,1.0809041825345385,cluster1
1.105290381736575,1.2081080980206365,1.2174558788716634,cluster1
0.15055743159222662,1.550425600622297,0.24793679011677525,cluster1
0.7074849858430965,1.1951585872314285,0.8945018159704776,cluster1
1.105290381736575,1.2081080980206365,1.2174558788716634,cluster1
1.105290381736575,1.2081080980206365,1.2174558788716634,cluster1
0.46880174830700916,0.8449587737145983,0.6093938587494228,cluster1
