T,H,Lux
-1.75890846869647,1.0955036563753533,-1.9949388046691352
-1.997591706232557,1.083680190002598,-1.8605682553563274
-2.474958181304731,0.6062373574265985,-1.3094516172528694
-1.2019809144456,0.0038035946243337978,-1.3613190439135594
-1.520225231160383,1.1067641005398818,-1.7152890524262348
-1.679347389517774,1.0994448118329379,-1.901719201072145
-1.2019809144456,0.0038035946243337978,-1.3613190439135594
-2.3158360229473396,0.6220019792569381,-1.4955003833404596
-1.0428587560882085,-0.2917830646945343,-1.1804229290956563
-1.8384695478751654,1.091562500917768,-2.046755481837598
-1.3611030728029916,1.114083389246825,-1.5288589862187736
-3.031885735555601,0.10965176977089965,-0.6659277089057869
-1.997591706232557,-0.7692258972705348,-1.8934908121975802
-2.1567138645899484,-0.8013181631394405,-1.7078202713051893
-2.713641418840818,0.15638261305369203,-1.037726613099333
-3.191007893912992,0.0860048370253901,-0.48003500161357937
-1.2019809144456,1.121402677953768,-1.3424290022703498
-1.440664151981687,1.1107052559974664,-1.622069517190691
-0.8041755185521217,0.39454100713346596,-0.8886674454007608
-1.440664151981687,1.1107052559974664,-1.622069517190691
-1.3611030728029916,1.114083389246825,-1.5288589862187736
-1.0428587560882085,0.7346064209022213,-1.1624001719091248
-1.0428587560882085,1.1281589444524853,-1.1560080686566854
-1.0428587560882085,1.1281589444524853,-1.1560080686566854
-1.1224198352669044,0.7284131766117307,-1.2556594497108327
-1.3611030728029916,1.114083389246825,-1.5288589862187736
-0.9632976769095131,1.1321000999100699,-1.062788662698404
-0.8837365977308174,1.1354782331594284,-0.9695782424172747
-0.8041755185521217,1.1388563664087872,-0.8763678395512615
-1.3611030728029916,0.7087073993238057,-1.5354563853556227
-1.679347389517774,-0.3987572842575535,-1.9276883692014792
-1.75890846869647,-0.4128328394632139,-2.021111953590614
-1.8384695478751654,-0.4269083946688743,-2.073133100395857
-2.0771527854112524,0.24252501091233364,-1.7814659295288586
-2.3158360229473396,0.21099576725165425,-1.5025483160881419
-2.0771527854112524,-0.4702611047023081,-1.7944902121336899
-1.75890846869647,-1.0079473135585346,-2.0329090662426705
-1.2815419936242958,0.715463665822523,-1.4421875499898849
-1.1224198352669044,0.7284131766117307,-1.2556594497108327
-1.1224198352669044,0.3590706080152021,-1.2619047896029405
-0.9632976769095131,1.1321000999100699,-1.062788662698404
-0.32680904347994766,0.444649983665617,-0.3288688632107826
-0.6450533601947303,0.41143167338025827,-0.7020641669450977
-0.724614439373426,0.40298634025686253,-0.7953657378796251
-0.32680904347994766,-0.7281252760700062,-0.35041228907963373
-0.32680904347994766,-0.46350483820359084,-0.3452577350649056
-0.724614439373426,0.40298634025686253,-0.7953657378796251
-1.75890846869647,-0.0783976477767233,-2.0149017438034824
-1.9180306270538614,0.6591614449998814,-1.9606618348931897
-2.1567138645899484,0.6372035788790511,-1.6815590158787912
-2.3158360229473396,0.6220019792569381,-1.4955003833404596
-1.1224198352669044,0.7284131766117307,-1.2556594497108327
-1.440664151981687,1.1107052559974664,-1.622069517190691
-0.2472479643012518,1.550425600622297,-0.217846401989666
-0.6450533601947303,1.1450496106992776,-0.6899560397372543
-1.2815419936242958,1.1180245447044095,-1.435639495298188
-0.16768688512255625,1.164192365778976,-0.1307120522640924
-0.16768688512255625,1.164192365778976,-0.1307120522640924
0.07099635241353075,0.8179337077197302,0.14316736558762175
-0.32680904347994766,1.1579991214884855,-0.317123671983891
-0.2472479643012518,1.1608142325296174,-0.2239223250506612
-0.48593120183733896,1.1518058771979949,-0.5035353498610339
-1.2815419936242958,1.1180245447044095,-1.435639495298188
-0.8837365977308174,0.7475559316914282,-0.9758724985652213
-1.2019809144456,0.0038035946243337978,-1.3613190439135594
-1.679347389517774,1.0994448118329379,-1.901719201072145
