T,H,Lux,name
-0.8189090517333611,-2.058021266714682,60.0,cluster0
0.7115514410011193,0.870215949975636,448.0,cluster1
1.394770308286753,-1.2726327155258998,134.0,cluster2
-1.2881720835558552,-0.3118887664875084,234.0,cluster3
-0.527951396470592,0.8609649064117375,383.0,cluster4
0.8697895873676355,-2.4654823155488326,100.0,cluster5
-0.11866937813630105,0.06864178991658763,323.0,cluster6
-1.7573585775436402,0.5884326940885292,162.0,cluster7
0.06144902291208725,-1.072035327203508,176.0,cluster8
1.2190973167356671,-0.10370916792046699,227.0,cluster9
